#日期,机构,余额,活期余额
20190509,340101011,30637.08,8029.16
20190509,340101012,37508.46,17017.98
20190509,340101015,23112.13,6138.9
20190509,340101016,38296.24,9558.43
20190509,340101017,18396.38,5468.35
20190509,340101018,20580.6,5617.97
20190509,340101021,12643.38,4790.14
20190509,340101023,9485.65,3719.84
20190509,340101024,14809.66,2857.2
20190509,340101025,27817.84,6439.89
20190509,340101028,42063.98,11065.68
20190509,340101029,10367.3,2840.27
20190509,340101031,29458.98,7409.46
20190509,340101032,23681.53,6729.65
20190509,340101034,22491.1,6910.01
20190509,340101036,22087.85,5125.4
20190509,340101037,20402.53,7587.95
20190509,340101038,18603.03,4361.61
20190509,340101039,14030.24,2665.91
20190509,340101040,19299.79,4596.79
20190509,340101042,12601.75,3450.19
20190509,340101043,29708.01,5794.81
20190509,340101044,10571.15,3372.64
20190509,340101045,47103.84,7284.47
20190509,340101047,13438.66,3085.76
20190509,340101049,10411.51,3488.3
20190509,340101050,29491.66,6909.57
20190509,340101051,23609.33,12016.86
20190509,340101052,15387.67,2974.01
20190509,340101053,12584.18,3486.67
20190509,340101054,13856.93,5222.87
20190509,340101057,13936.99,4440.3
20190509,340101059,10851.1,2413.43
20190509,340101061,13847.66,4575.04
20190509,340101062,14607.95,4702.63
20190509,340101064,36118.38,10584.59
20190509,340101065,22256.32,4106.56
20190509,340101066,6470.67,1559.13
20190509,340101067,13813.37,5572.84
20190509,340121001,21109.92,6997.9
20190509,340121003,7252.23,3098.61
20190509,340121004,18109.32,6462.16
20190509,340121005,36870.38,9944.75
20190509,340121007,31746.02,8698.51
20190509,340121008,23285.36,6965.97
20190509,340121009,22655.52,9890.97
20190509,340121010,16967.74,6832.17
20190509,340121011,29202.37,13376.45
20190509,340121017,17086.23,5990.99
20190509,340121018,22887.82,8134.96
20190509,340121020,5890.63,1960.83
20190509,340122001,38676.64,12960.27
20190509,340122002,34083.94,9126.89
20190509,340122003,14521.3,2889.24
20190509,340122004,8307.82,3335.22
20190509,340122005,3485.53,1208.11
20190509,340122006,33324.98,9090.96
20190509,340122007,21296,3686.25
20190509,340122008,24931.77,7533.01
20190509,340122009,24170.49,9490.61
20190509,340122011,32206.68,4689.98
20190509,340122012,15796.77,3220.88
20190509,340122013,20176.04,6122.62
20190509,340122014,19631.1,5134.83
20190509,340122015,14328.6,4081.63
20190509,340122016,23466.6,4398.8
20190509,340122017,16031.34,5884.77
20190509,340122018,12756.41,5301.21
20190509,340122019,22762.3,3264.52
20190509,340122020,26964.2,8567.54
20190509,340122021,25225.95,7142.81
20190509,340123001,33069.9,8533.59
20190509,340123005,48800.96,9686.17
20190509,340123006,34945.04,8056.72
20190509,340123007,52201.13,9458.95
20190509,340123008,43179.19,9762.28
20190509,340123010,25756.31,6125.2
20190509,340123011,55006.46,14808.55
20190509,340123013,43428.16,9690.74
20190509,340123014,24190.85,4829.71
20190509,340123015,34243.96,7500.25
20190509,340123016,36632.63,7034.78
20190509,340123018,34911.88,9795.97
20190509,340123019,33538.56,7212.79
20190509,340124001,19957,5189.66
20190509,340124002,44208.37,11959.03
20190509,340124003,24086.94,4498.06
20190509,340124004,35839.57,4453.99
20190509,340124005,32781.65,5406.65
20190509,340124006,23717.44,4949.09
20190509,340124008,32190.65,3227.04
20190509,340124009,43033.56,5637.48
20190509,340124010,11565.8,2274.96
20190509,340124011,31174.97,5936.8
20190509,340124012,23812.56,3324.13
20190509,340124013,18913.76,3240.46
20190509,340124014,33051.62,7826.76
20190509,340124015,28013.02,5201.76
20190509,340124016,27679.83,5271.75
20190509,340124017,19056,3725.8
20190509,340124018,29758.25,6174.82
20190509,340124019,17838.29,2149.24
20190509,340124020,4652.51,949.31
20190509,340124021,16681.58,3237.67
20190509,340124022,26669.67,3598.97
20190509,340124023,8881.58,1774.17
20190509,340124024,24878.85,2149.74
20190509,340124025,16510.76,5185.29
20190509,340181003,13177.71,2294.85
20190509,340181004,23945.52,7033.32
20190509,340181005,17437.19,2887.43
20190509,340181006,22261.01,3671.57
20190509,340181007,22025.01,3628.78
20190509,340181008,8432.01,1755.96
20190509,340181009,12502.65,2211.15
20190509,340181010,39163.57,8618.44
20190509,340181011,23842.42,6773.46
20190509,340181012,17340.65,5145.28
20190509,340181013,12728.1,2741.77
20190509,340181016,21023.52,2219.49
20190509,340181017,24482.26,3912.32
20190509,340181018,28823.57,4174.45
20190509,340181020,36538.88,6084.4
20190509,340181021,25707.1,3552.22
20190509,340181022,21796.51,3762.8
20190509,340181023,21522.2,5216.22
20190509,340181024,13593.88,2662.42
20190509,340181025,17694.62,2103.41
20190509,340181026,15635.1,4320.67
20190509,340201002,8519.62,2026.54
20190509,340201005,12041.45,2436.96
20190509,340201006,11918.36,2402.91
20190509,340201010,9724,1992.51
20190509,340201011,9252.08,1936.88
20190509,340201013,11760.93,2185.48
20190509,340201015,11451.43,2807.34
20190509,340201016,18287.11,3847.03
20190509,340201017,14988.22,4087.25
20190509,340201018,14975.91,2623.82
20190509,340201019,11041.67,1923.3
20190509,340201020,17815.99,4420.58
20190509,340201021,19761.82,5016.93
20190509,340201022,9559.79,1818.57
20190509,340201023,12503.21,2453.93
20190509,340201024,10982.7,2578.79
20190509,340201026,17688.82,4941.78
20190509,340201027,11629.28,2825.92
20190509,340201028,16363.51,3239.93
20190509,340201032,10653.43,3411.07
20190509,340201034,9814.67,2520.11
20190509,340201037,31675.48,4789.89
20190509,340201038,10856.48,2233.58
20190509,340201039,30766.05,9449.14
20190509,340201040,34070.83,6027.19
20190509,340201041,22947.54,4646.9
20190509,340201042,28643.25,6764.82
20190509,340201043,36956.39,7115.94
20190509,340201044,18609.34,3978.86
20190509,340201045,38823.83,8318.88
20190509,340201047,21076.34,6403.01
20190509,340201049,13373.05,3791.44
20190509,340201052,28915.13,6077.54
20190509,340201053,17913.23,3905.89
20190509,340201054,49451.76,10378.43
20190509,340201055,22984.19,4204.99
20190509,340221002,18194.37,5256.31
20190509,340221003,18419.75,4602.86
20190509,340221004,18989.51,5065.71
20190509,340221007,18014.71,4256.73
20190509,340221010,27408.26,8766.5
20190509,340221012,29753.16,4748.98
20190509,340221013,31635.75,8045.84
20190509,340222002,14902.36,3465.18
20190509,340222003,37314.15,7504.53
20190509,340222005,13133.86,2381.56
20190509,340222007,21526.7,4797.65
20190509,340222009,10046.61,1762.03
20190509,340222010,25841.31,4832.55
20190509,340222011,32073.64,5291.14
20190509,340222012,14611.81,2270.12
20190509,340222016,10782.46,2531.21
20190509,340222017,15402.82,3089.35
20190509,340222022,18173.15,3892.11
20190509,340223002,42839.59,8155.02
20190509,340223003,34097.69,6158.77
20190509,340223004,29610.96,6521.3
20190509,340223005,40467.59,9622.89
20190509,340223006,47730.98,8217.83
20190509,340223008,28261.93,4793.14
20190509,340223009,29179.59,5246.94
20190509,340223010,18066.91,3457.57
20190509,340223011,17222.67,3965.86
20190509,340223012,23609.77,4770.48
20190509,340223013,16785.06,3292.86
20190509,340223014,19605.32,3616.32
20190509,340223017,11080.41,1724.62
20190509,340223018,11683.19,1536.63
20190509,340225001,28098.15,9878.38
20190509,340225002,29758.2,5879.4
20190509,340225004,48168,5752.62
20190509,340225006,22943.91,3430.2
20190509,340225007,67365.75,15163.29
20190509,340225008,37757.04,4523.97
20190509,340225009,29798.96,5896.03
20190509,340225010,21239.33,4017.07
20190509,340225011,21861.55,3501.2
20190509,340225012,29572.52,6493.7
20190509,340225013,24328.83,5000.49
20190509,340225014,38452.09,8933.53
20190509,340225015,41369.36,6919.05
20190509,340225016,27510.08,4315.02
20190509,340225017,44608.8,12435.47
20190509,340225018,24641.33,6442.02
20190509,340225019,18920.62,3963.07
20190509,340225020,10723.65,1546.84
20190509,340225021,16216.99,2237.94
20190509,340225022,9733.96,2036.5
20190509,340301002,6889.95,2334.08
20190509,340301003,5825.52,1595.8
20190509,340301004,12334.77,4042.34
20190509,340301007,7908.14,2688.35
20190509,340301008,7452.08,1717.64
20190509,340301009,7144.92,1743.34
20190509,340301010,12660.3,4072.32
20190509,340301011,11409.57,2650.18
20190509,340301013,10023.76,2616.66
20190509,340301014,9321.34,2059.21
20190509,340301015,4093.94,1141.97
20190509,340301016,15262.32,2336.02
20190509,340301017,9529.45,2649.73
20190509,340301018,6439.59,2026.29
20190509,340301019,2339.12,828.18
20190509,340301020,9724.5,2353.15
20190509,340301021,7565.92,1915.48
20190509,340301022,12591.23,4328.29
20190509,340301024,9229.26,3197.4
20190509,340301025,24502.53,8560.86
20190509,340301026,20942.37,4813.78
20190509,340321002,8871.77,3827.44
20190509,340321003,15237.59,9695.23
20190509,340321004,11793,6846.55
20190509,340321005,12371.84,5558.13
20190509,340321006,11732.18,5609.84
20190509,340321007,14245.8,6307.26
20190509,340321008,8935.55,4458.42
20190509,340321009,13103.39,6978.08
20190509,340321010,17689.17,9717.7
20190509,340321011,24746.53,13726.37
20190509,340321012,12830.79,6393.79
20190509,340321013,9576.65,3183.29
20190509,340321014,10275.01,6522.7
20190509,340321015,12198.08,6686.4
20190509,340321016,10024.72,5396.23
20190509,340321018,12765.61,10045.33
20190509,340321019,14794.55,9122.76
20190509,340321020,10670.06,5551.09
20190509,340321021,13025.62,6011.28
20190509,340321023,10534.73,5325.84
20190509,340321024,10087.72,5360.46
20190509,340321025,18449.03,9505.67
20190509,340322001,16329.15,5828.05
20190509,340322002,33122.38,12029.94
20190509,340322003,12083.68,4680.09
20190509,340322004,24199.94,10411.36
20190509,340322005,20401.17,6947.93
20190509,340322006,26564.35,8613.78
20190509,340322007,19213.29,6575.51
20190509,340322008,29713.97,11955.48
20190509,340322010,29173.85,10025.82
20190509,340322011,26915.01,10633.76
20190509,340322012,19552.51,7286.97
20190509,340322013,18785.67,6690.5
20190509,340322015,13248.66,4404.88
20190509,340322016,20512.69,6885.59
20190509,340322017,15797.2,6736.67
20190509,340322021,10966.97,3452.8
20190509,340323001,11256.94,4383.12
20190509,340323002,10614.46,4034.36
20190509,340323003,19165.2,6484.09
20190509,340323006,19493.21,7111.39
20190509,340323007,23043,6197.35
20190509,340323008,18193.08,7081.08
20190509,340323009,16529.1,5738.33
20190509,340323010,16334.4,6933.91
20190509,340323011,13653.23,6234.44
20190509,340323012,14996.97,5723.98
20190509,340323013,5961.78,1696.36
20190509,340323014,7504.24,2881.91
20190509,340323015,5198.35,2370.97
20190509,340323016,14546.04,5224.12
20190509,340323017,19284.92,7455.26
20190509,340323018,12695.16,4016.98
20190509,340323019,14054.97,6478.25
20190509,340323020,10816.45,4239.55
20190509,340323021,9153.48,3619
20190509,340323022,11638.32,4878.68
20190509,340323023,10585.12,3587.3
20190509,340323024,12948.4,4706.53
20190509,340401002,10106.8,2647.37
20190509,340401004,13056.2,2770.88
20190509,340401005,12031.15,2076.61
20190509,340401006,11435.43,2238.12
20190509,340401007,8455.84,1902.01
20190509,340401009,22418.5,3177.79
20190509,340401010,10586.71,2378.63
20190509,340401011,17055.9,3940.45
20190509,340401012,12537.04,2148.31
20190509,340401013,13242.59,3632.53
20190509,340401014,24417.51,3919.04
20190509,340401015,13758.32,2444.44
20190509,340401016,14698.67,3739.14
20190509,340401017,15012.97,3357.21
20190509,340401018,14638.07,2730.74
20190509,340401019,15756.57,1662.25
20190509,340401020,23426.27,3979.68
20190509,340401021,16906.77,3720.94
20190509,340401022,20016.8,3746.38
20190509,340401026,24888.93,4632.07
20190509,340401028,15401.16,1882.33
20190509,340401029,20077.39,4148.69
20190509,340401031,16577.52,3177.53
20190509,340401032,20329.47,2771.07
20190509,340401033,20082.42,3926.68
20190509,340401035,13722.3,1688.71
20190509,340401036,16272.76,3206.37
20190509,340401038,12045.88,1263.73
20190509,340401040,25866.44,5412.5
20190509,340401041,14195.48,6849.18
20190509,340401042,33219.94,8939.13
20190509,340401043,26399.94,4516.68
20190509,340401047,36315.12,10994.38
20190509,340401048,18992.03,4054.76
20190509,340401049,17873.92,4491.42
20190509,340401051,21114.55,6571.62
20190509,340401052,15495.38,2487.22
20190509,340401053,13844.84,2338.27
20190509,340421002,20596.82,6087.07
20190509,340421003,30168.7,7919.19
20190509,340421004,51718.09,13926.68
20190509,340421005,31984.22,9651.36
20190509,340421006,26791.03,7633.18
20190509,340421007,25001.7,9142.22
20190509,340421008,43144.05,11411.07
20190509,340421009,27396.7,8250.73
20190509,340421010,34611.59,8893.41
20190509,340421012,25387.6,6391.82
20190509,340421013,29844.58,8301.85
20190509,340421014,24649.82,8513.59
20190509,340421015,31820.78,8742.96
20190509,340421016,26823.06,6265.65
20190509,340421017,34554.03,7909.22
20190509,340421019,23872.19,6043.82
20190509,340422101,32860.91,9153.27
20190509,340422102,17956.04,6129.42
20190509,340422103,19208.92,4255.97
20190509,340422105,20048.62,4430.67
20190509,340422106,32014.27,5774.49
20190509,340422107,14221.31,4537.64
20190509,340422108,20618.33,6735.09
20190509,340422109,18170.24,2692.56
20190509,340422110,17757.3,4497.26
20190509,340422111,22743.12,7454.6
20190509,340422112,25385.57,6125.82
20190509,340422113,7779.49,2387.62
20190509,340422114,22835.43,6160.01
20190509,340422115,10181.23,3262.84
20190509,340422117,28609.88,8006.92
20190509,340422118,39005.86,6836.52
20190509,340422119,18246.84,3611.45
20190509,340422120,21861.51,4634.74
20190509,340422121,39544.03,6236.06
20190509,340422122,27496.85,5793.55
20190509,340422123,12654.87,2335.23
20190509,340422125,18545.37,3715.32
20190509,340422126,28505.18,4696.27
20190509,340422127,14193.93,2570.57
20190509,340422128,35792.32,6970.76
20190509,340422129,13958.03,3606.9
20190509,340501001,6146.22,1278.53
20190509,340501003,14686.51,2581.9
20190509,340501004,10798.97,1458.09
20190509,340501006,5117.13,1094.59
20190509,340501007,8758.39,1592.79
20190509,340501008,6485.16,2078.06
20190509,340501009,19773.57,2888.59
20190509,340501010,9687.69,2409.76
20190509,340501012,8317.35,2072.38
20190509,340501013,7314.9,1114.72
20190509,340501014,19348.73,2325.83
20190509,340501015,8756.97,1426.94
20190509,340501016,4702.17,771.66
20190509,340501017,11200.77,1723.84
20190509,340501019,19059.32,4348.62
20190509,340501020,12875.55,1965.73
20190509,340501021,14814.67,2102.46
