#日期,机构,余额,活期余额
20190507,340101011,30631.52,8071.59
20190507,340101012,37881.9,17237.59
20190507,340101015,22998.21,6052.8
20190507,340101016,38306.86,9564.49
20190507,340101017,18476.79,5357.87
20190507,340101018,20617.66,5658.18
20190507,340101021,12565.35,4701.08
20190507,340101023,9525.65,3742.55
20190507,340101024,14802.82,2851.81
20190507,340101025,27854.57,6475.33
20190507,340101028,42108.82,11049.72
20190507,340101029,10347.37,2815.21
20190507,340101031,29536.16,7483.69
20190507,340101032,23589.22,6621.98
20190507,340101034,22584.73,7022.42
20190507,340101036,22163.21,5181.49
20190507,340101037,20442.14,7621.28
20190507,340101038,18639.68,4385.57
20190507,340101039,14000.97,2588.25
20190507,340101040,19300.76,4582.93
20190507,340101042,12705.16,3558.73
20190507,340101043,29877.52,5959.89
20190507,340101044,11185.1,3937.45
20190507,340101045,47144.14,7418.99
20190507,340101047,13379.18,3000.18
20190507,340101049,10436.38,3556.18
20190507,340101050,29518.46,6949.22
20190507,340101051,23659.36,12068.44
20190507,340101052,15305.19,2868.92
20190507,340101053,12491.84,3411.06
20190507,340101054,13870.7,5244.71
20190507,340101057,13859.75,4390
20190507,340101059,10835.38,2372.65
20190507,340101061,13767.13,4496.96
20190507,340101062,14663.01,4698.41
20190507,340101064,36224.78,10687.74
20190507,340101065,22268.66,4155.36
20190507,340101066,6349.59,1433.33
20190507,340101067,13509.28,5266.63
20190507,340121001,21148.46,7047.1
20190507,340121003,7306.42,3119.85
20190507,340121004,18216.26,6539.02
20190507,340121005,36966.43,10009.45
20190507,340121007,31869.44,8782.92
20190507,340121008,23244.86,6907.99
20190507,340121009,22714.21,9979.22
20190507,340121010,17116.8,6996.56
20190507,340121011,29383.69,13470.43
20190507,340121017,16872.45,5827.89
20190507,340121018,23049.13,8289.76
20190507,340121020,5929.95,1992.17
20190507,340122001,38772.49,13044.49
20190507,340122002,34096.93,9163.83
20190507,340122003,14506.73,2872.87
20190507,340122004,8305.68,3331.16
20190507,340122005,3497.16,1169.18
20190507,340122006,33258.83,9056.17
20190507,340122007,21270.02,3661.72
20190507,340122008,24907.07,7463.62
20190507,340122009,24268.52,9626.65
20190507,340122011,32213.31,4713.36
20190507,340122012,15833.06,3251.65
20190507,340122013,20147.04,6103.83
20190507,340122014,19634.78,5129.53
20190507,340122015,14347.02,4082.55
20190507,340122016,23631.92,4551.29
20190507,340122017,16030.31,5912.64
20190507,340122018,12748.18,5338.56
20190507,340122019,22837.24,3385.25
20190507,340122020,26956.47,8592.47
20190507,340122021,25317.06,7193.97
20190507,340123001,33106.33,8579.44
20190507,340123005,49084.2,9849.66
20190507,340123006,35042.58,8177.39
20190507,340123007,52263.34,9516.75
20190507,340123008,43333.21,9869.6
20190507,340123010,25836.51,6216.5
20190507,340123011,55100.75,14907.07
20190507,340123013,43652.4,9867.66
20190507,340123014,24220.05,4865.62
20190507,340123015,34253.04,7624.36
20190507,340123016,36660.33,7057.9
20190507,340123018,35240.64,10040.59
20190507,340123019,33552.27,7172.73
20190507,340124001,20140.53,5375.82
