#日期,机构,余额,活期余额
20190514,340101011,30779.62,8104.82
20190514,340101012,37687.61,16974.29
20190514,340101015,22942.26,5995.33
20190514,340101016,37955.47,9420.33
20190514,340101017,18262.47,5323.27
20190514,340101018,20564.93,5708.45
20190514,340101021,12627.16,4789.2
20190514,340101023,9314.71,3547.51
20190514,340101024,14747.19,2807.91
20190514,340101025,27965.93,6508.27
20190514,340101028,41840.85,10820.3
20190514,340101029,10308.05,2805.87
20190514,340101031,29446.4,7495.38
20190514,340101032,23351.11,6403.04
20190514,340101034,22521.62,6930.85
20190514,340101036,22165.94,5167.67
20190514,340101037,20215.99,7556.72
20190514,340101038,18546.69,4383.07
20190514,340101039,14128.77,2724.76
20190514,340101040,18989.76,4261.19
20190514,340101042,12584.09,3401.98
20190514,340101043,29754.96,5912.26
20190514,340101044,10531.89,3328.25
20190514,340101045,46796.05,7112.28
20190514,340101047,13571.64,3231.77
20190514,340101049,10622.68,3602
20190514,340101050,29475.26,6889.86
20190514,340101051,23349.64,11789.59
20190514,340101052,15329.22,2970.34
20190514,340101053,12487.28,3492.83
20190514,340101054,13751.28,5156.34
20190514,340101057,13909.39,4360.97
20190514,340101059,10906.41,2428.57
20190514,340101061,13579.18,4345.49
20190514,340101062,14584.19,4742.55
20190514,340101064,35993.95,10462.68
20190514,340101065,22205.48,4145.3
20190514,340101066,6304.09,1356.56
20190514,340101067,13626.28,5342.32
20190514,340121001,20975.28,6820.15
20190514,340121003,7198.65,3048.65
20190514,340121004,18134.51,6451.43
20190514,340121005,36686.84,9713.06
20190514,340121007,31692.34,8597.31
20190514,340121008,23063.55,6761.21
20190514,340121009,24855.19,12108.25
20190514,340121010,16950.7,6803.56
20190514,340121011,29136.76,13375.29
20190514,340121017,17310.27,5658.44
20190514,340121018,22937.37,8070.78
20190514,340121020,5870.68,1931.13
20190514,340122001,39180.48,13535.63
20190514,340122002,34265.65,9281.17
20190514,340122003,14450.06,2837.41
20190514,340122004,8241.52,3307.34
20190514,340122005,3471.52,1186.23
20190514,340122006,33124.27,8927.33
20190514,340122007,21290.91,3687.52
20190514,340122008,24809.97,7440.42
20190514,340122009,24152.56,9525.45
20190514,340122011,32166.06,4706.11
20190514,340122012,15800.89,3242.86
20190514,340122013,20167.95,6130.18
20190514,340122014,19659.36,5203.32
20190514,340122015,14272.13,4117.11
20190514,340122016,23569.23,4526.62
20190514,340122017,16007.55,5920.52
20190514,340122018,12766.22,5289.43
20190514,340122019,22679.27,3195.7
20190514,340122020,27016.21,8676.29
20190514,340122021,25277.39,7247.43
20190514,340123001,32778.6,8361.6
20190514,340123005,48526.17,9616.09
20190514,340123006,35065.47,8229.8
20190514,340123007,52292.94,9639.54
20190514,340123008,42929.35,9572.58
20190514,340123010,26722.26,7004.76
20190514,340123011,54680.25,14564.89
20190514,340123013,43231.03,9487.26
20190514,340123014,24110.45,4849.72
20190514,340123015,34197.94,7620.65
20190514,340123016,36543.15,6931.18
20190514,340123018,34976.7,9882.54
20190514,340123019,33413.85,7144.18
20190514,340124001,19554.02,4822.82
20190514,340124002,43996.12,11856.73
20190514,340124003,23982.34,4437.21
20190514,340124004,35740.81,4485.51
20190514,340124005,32684.47,5327.36
20190514,340124006,23844.24,4951.71
20190514,340124008,32088.95,3153.22
20190514,340124009,43112.69,5714.9
20190514,340124010,11560.99,2276.98
20190514,340124011,31044.79,5790.77
20190514,340124012,23937.2,3294.87
20190514,340124013,18834.09,3205.25
20190514,340124014,33077.17,7948.44
20190514,340124015,27964.75,5123.87
20190514,340124016,27576.21,5176.12
20190514,340124017,19053.32,3749.38
20190514,340124018,29813.37,6111.02
20190514,340124019,17790.04,2109.46
20190514,340124020,5376.81,865.55
20190514,340124021,16746.33,3268.44
20190514,340124022,26631.49,3622.99
20190514,340124023,8856.62,1754.62
20190514,340124024,24824.82,2163.05
20190514,340124025,16374.17,5165.25
20190514,340181003,13221.29,2346.98
20190514,340181004,25585.09,8695.57
20190514,340181005,17330.3,2797.45
20190514,340181006,22309.98,3709.33
20190514,340181007,21938.38,3534.2
20190514,340181008,8491.87,1789.19
20190514,340181009,12576.28,2238.13
20190514,340181010,39081.2,8539.74
20190514,340181011,23795.29,6794.35
20190514,340181012,17387.95,5245.18
20190514,340181013,12786.54,2780.95
20190514,340181016,21011.77,2225.09
20190514,340181017,24485.79,3921.8
20190514,340181018,28672.49,4079.17
20190514,340181020,36412.91,5961.94
20190514,340181021,25580.19,3435.47
20190514,340181022,21685.19,3711.55
20190514,340181023,21469.16,5175.92
20190514,340181024,13597.35,2646.73
20190514,340181025,17730.81,2159.89
20190514,340181026,15618.24,4213.43
20190514,340201002,8664.99,2187.67
20190514,340201005,12337.73,2786.65
20190514,340201006,12152.69,2573
20190514,340201010,9866.7,2132.9
20190514,340201011,9219.83,1968.2
20190514,340201013,11682.87,2218.91
20190514,340201015,11466.91,2887.27
20190514,340201016,18596.09,4142.93
20190514,340201017,15081.26,4180.51
20190514,340201018,15091.78,2743.93
20190514,340201019,11121.01,2022.04
20190514,340201020,17818.53,4374.08
20190514,340201021,19984.77,5217.84
20190514,340201022,9537.68,1866.47
20190514,340201023,12529.6,2474.75
20190514,340201024,10953.35,2577.36
20190514,340201026,18075.03,5350.4
20190514,340201027,11863.32,3057.87
20190514,340201028,16358.03,3227.03
20190514,340201032,10751,3485.56
20190514,340201034,9828.51,2518.28
20190514,340201037,31723.57,4827.92
