instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
340201013,3,340201,3402,芜湖市团结东路营业所,芜湖市团结东路营业所,团结东路营业所,0
340201015,3,340201,3402,芜湖市中央城营业所,芜湖市中央城营业所,中央城营业所,0
340201016,3,340201,3402,芜湖市南瑞营业所,芜湖市南瑞营业所,南瑞营业所,9
340201017,3,340201,3402,芜湖市伟星城营业所,芜湖市伟星城营业所,伟星城营业所,0
340201018,3,340201,3402,芜湖市绿影营业所,芜湖市绿影营业所,绿影营业所,0
340201019,3,340201,3402,芜湖市康复路营业所,芜湖市康复路营业所,康复路营业所,0
340201020,3,340201,3402,芜湖市弋江嘉园营业所,芜湖市弋江嘉园营业所,弋江嘉园营业所,0
340201021,3,340201,3402,芜湖市解放东路营业所,芜湖市解放东路营业所,解放东路营业所,9
340201022,3,340201,3402,芜湖市西洋里营业所,芜湖市西洋里营业所,西洋里营业所,0
340201023,3,340201,3402,芜湖市枣园营业所,芜湖市枣园营业所,枣园营业所,0
340201024,3,340201,3402,芜湖市利民路营业所,芜湖市利民路营业所,利民路营业所,0
340201026,3,340201,3402,芜湖市左岸营业所,芜湖市左岸营业所,左岸营业所,0
340201027,3,340201,3402,芜湖市月牙路营业所,芜湖市月牙路营业所,月牙路营业所,0
340201028,3,340201,3402,芜湖市王家巷营业所,芜湖市王家巷营业所,王家巷营业所,0
340201032,3,340201,3402,芜湖市北京路营业所,芜湖市北京路营业所,北京路营业所,0
340201034,3,340201,3402,芜湖市弋江桥营业所,芜湖市弋江桥营业所,弋江桥营业所,0
340201035,3,340201,3402,芜湖市方村营业所,芜湖市方村营业所,方村营业所,0
340201037,3,340201,3402,芜湖市保定营业所,芜湖市保定营业所,保定营业所,0
340201038,3,340201,3402,芜湖市新淮营业所,芜湖市新淮营业所,新淮营业所,0
340201039,3,340201,3402,芜湖市峨桥营业所,芜湖市峨桥营业所,峨桥营业所,0
340201040,3,340201,3402,芜湖市中沟营业所,芜湖市中沟营业所,中沟营业所,0
340201041,3,340201,3402,芜湖市小洲营业所,芜湖市小洲营业所,小洲营业所,0
340201042,3,340201,3402,芜湖市清水营业所,芜湖市清水营业所,清水营业所,0
