#????,????,???,???????
20190515,340101011,30693.78,7997.38
20190515,340101012,37808.05,17151.48
20190515,340101015,22890.28,5964.83
20190515,340101016,38031.82,9498.73
20190515,340101017,18518.44,5587.21
20190515,340101018,20563.01,5727
20190515,340101021,12591.81,4765.12
20190515,340101023,9556.11,3819.39
